date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:48	76348/76348	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-12a3c%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-icheck.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-icheck.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:48	84738/84738	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-14b02%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-img-cropper.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-img-cropper.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:49	55567/55567	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-d90f%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-bootstrapwysihtml5.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-bootstrapwysihtml5.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:49	59203/59203	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-e743%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-typehead.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-typehead.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:50	100216/100216	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-18778%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-wizard.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-wizard.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:50	61300/61300	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-ef74%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-xeditable.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-xeditable.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:50	57418/57418	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-e04a%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-summernote.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-summernote.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:51	56055/56055	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-daf7%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-tinymce.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-tinymce.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:51	85874/85874	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-14f72%22	http://eliteadmin.themedesigner.in/demos/bt4/material/table-basic.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/table-basic.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:51	117136/117136	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-1c990%22	http://eliteadmin.themedesigner.in/demos/bt4/material/table-layout.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/table-layout.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:52	176220/176220	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-2b05c%22	http://eliteadmin.themedesigner.in/demos/bt4/material/table-data-table.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/table-data-table.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:53	151358/151358	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-24f3e%22	http://eliteadmin.themedesigner.in/demos/bt4/material/table-footable.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/table-footable.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:53	56623/56623	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-dd2f%22	http://eliteadmin.themedesigner.in/demos/bt4/material/table-jsgrid.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/table-jsgrid.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:54	121791/121791	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-1dbbf%22	http://eliteadmin.themedesigner.in/demos/bt4/material/table-responsive.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/table-responsive.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:54	84372/84372	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-14994%22	http://eliteadmin.themedesigner.in/demos/bt4/material/table-bootstrap.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/table-bootstrap.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
